label,l_elbow,r_elbow,l_shoulder,r_shoulder,l_hip,r_hip,l_knee,r_knee
Good Curl,149.59957185045607,144.36063464908887,7.377226130102622,5.0623054845056075,177.01563425008015,177.89129398748943,179.47383931041492,179.54815110071212
Good Curl,155.2190662422361,147.60989368717082,6.736832977978332,4.246935814388769,176.9274992875987,178.07315090820106,179.58925028808724,179.65725924549
Good Curl,151.93206249547086,147.49848883815164,5.148561222513991,3.173136649046,176.61765077481473,179.1233200054694,179.4508058105141,179.46344906531507
Good Curl,150.3891507445878,146.4771479321148,5.1124219397695025,3.271785393857358,177.4532729398758,179.46658695295454,179.84259352919656,179.16893249910225
Good Curl,150.6258583053735,145.72022122352686,4.656314376835155,2.7931230090417696,179.05397807053748,179.25825253355703,178.70621774826554,177.50042657498614
Good Curl,146.03088776157395,144.94739985215617,4.942012803403509,2.4967868155230217,178.08034768992815,179.27002748177236,178.66196499722855,177.78123480394314
Good Curl,149.61633960551532,146.83648286289014,3.613255498404381,2.3250403247309315,178.1651901727522,179.6565906974738,179.56313854514497,177.89092640077436
Good Curl,148.25566812171368,146.29860240789228,4.212086926236474,2.333138883653824,178.46941453872938,179.1453646178617,179.22657833522698,177.02095810067604
Good Curl,148.77752854730966,146.5140215936508,4.133449084010493,2.4974594132077668,178.08502457305264,179.58319771526928,179.52407308771453,177.14943864740619
Good Curl,147.05568931876394,145.5235714593342,4.785214785675135,2.5767444998953035,177.80872762032254,179.4139476398193,179.0706532757607,178.53912189206136
Good Curl,151.29501878876727,147.6707780834544,4.307164989528696,2.430138087736822,177.48675379381197,178.72826571980139,178.09718567607078,179.2666227122024
Good Curl,148.09446951268276,147.5543723109861,5.964121052107493,3.2400849608713096,176.53079481563415,178.56812221287936,178.3663566595703,179.23331676019973
Good Curl,147.51709941186553,146.53380169379164,4.466473467128104,2.489753249743808,177.90919111153443,178.28658509981068,177.95822211465028,179.7956522665455
Good Curl,148.97125106768357,146.30998487023547,3.986000944028887,1.9676083728629894,177.5288518807572,178.4932539092104,178.17893384453674,179.56100101161695
Good Curl,148.73885979607093,146.8682609161692,3.9308303853000113,1.4475767729904268,177.73236524929118,178.78704999677265,178.17721459307694,178.86437421201566
Good Curl,148.80166743938142,146.47418054645502,3.7299143244761814,1.793165080323737,177.3803474349946,178.6001264570846,177.51159678116852,179.16268483985962
Good Curl,147.03977637701877,147.33812123001098,4.676357941138851,1.4636196837435291,177.48669780812975,178.99749355215775,178.04136638977312,178.39162192196804
Good Curl,148.479284683041,146.81648787883623,4.001656891974183,1.7750020135608795,177.11196902848968,177.93956272549983,178.0500266365034,179.4525474368438
Good Curl,150.536199375485,148.83332719938187,3.7743261333433695,1.8043320844802977,177.28988944317845,178.66148807474485,178.1035876451096,178.94321185136565
Good Curl,149.16503792530253,147.4702051857625,4.187701083960003,1.7209751594983749,177.75517492271373,179.19375683944997,177.89257731244751,178.0682054790443
Good Curl,150.0617637111165,146.66208332942358,4.215979174247625,1.924513959243158,177.21029666736496,178.56500059208545,178.5304000300418,179.43990826182767
Good Curl,146.9649614075488,145.55657096142565,3.974013130754229,1.3722697046422017,176.5470582564442,178.30400383018974,178.93617754765597,177.92406817567152
Good Curl,145.72827414263796,147.76600970542412,5.108688190840306,0.9220576841300578,176.73523143994072,177.13217129959042,178.5188017430332,179.8603803121286
Good Curl,149.45814739364295,146.68765626246517,4.0003101142423665,0.5898658256942612,176.2248528634316,177.05856951728535,178.43808950803853,179.88971276933142
Good Curl,152.20988841716405,148.68561793260125,3.0070791800124037,0.32637389802059596,175.88139419289016,176.55355491694326,178.7538425180687,179.36493093699053
Good Curl,153.13034536446781,149.62118699785938,4.203016132441118,0.5233019712707837,175.65237325317304,176.76271297169194,178.79805926733252,179.66069803852048
